date_key,store_id,lines_count,qty_sold,revenue,gross_profit,lost_sales_qty,lost_revenue,potential_revenue,stock_qty,incoming_qty,stockout_lines,stockout_rate_pct,revenue_capture_pct
2026-06-10,ST001,20,327,31004.91,10837.11,0,0.0,31004.91,4307,0,0,0.0,100.0
2026-06-10,ST002,20,328,33034.56,11491.72,0,0.0,33034.56,4306,0,0,0.0,100.0
2026-06-10,ST003,20,343,33449.14,11659.46,0,0.0,33449.14,4291,0,0,0.0,100.0
2026-06-11,ST001,20,344,32373.1,11018.83,0,0.0,32373.1,3963,0,0,0.0,100.0
2026-06-11,ST002,20,331,32137.63,10876.77,0,0.0,32137.63,3975,0,0,0.0,100.0
2026-06-11,ST003,20,327,32371.41,11217.36,0,0.0,32371.41,3964,0,0,0.0,100.0
2026-06-12,ST001,20,318,30952.67,10555.41,0,0.0,30952.67,3645,0,0,0.0,100.0
2026-06-12,ST002,20,312,30812.43,10354.75,0,0.0,30812.43,3663,0,0,0.0,100.0
2026-06-12,ST003,20,322,30989.36,10497.48,0,0.0,30989.36,3642,0,0,0.0,100.0
2026-06-13,ST001,20,444,40741.95,13747.2,0,0.0,40741.95,3201,0,0,0.0,100.0
2026-06-13,ST002,20,459,44175.29,15073.94,0,0.0,44175.29,3204,0,0,0.0,100.0
2026-06-13,ST003,20,498,47784.08,16087.04,0,0.0,47784.08,3144,0,0,0.0,100.0
2026-06-14,ST001,20,474,45755.05,15810.06,0,0.0,45755.05,2727,0,0,0.0,100.0
2026-06-14,ST002,20,485,46911.53,16348.43,0,0.0,46911.53,2719,0,0,0.0,100.0
2026-06-14,ST003,20,479,46638.74,16009.82,0,0.0,46638.74,2665,0,0,0.0,100.0
2026-06-15,ST001,20,333,32288.08,11168.52,0,0.0,32288.08,2394,0,0,0.0,100.0
2026-06-15,ST002,20,324,29157.92,10079.18,0,0.0,29157.92,2395,0,0,0.0,100.0
2026-06-15,ST003,20,341,33906.43,11635.94,0,0.0,33906.43,2324,0,0,0.0,100.0
2026-06-16,ST001,20,312,31297.29,10887.46,0,0.0,31297.29,2082,0,0,0.0,100.0
2026-06-16,ST002,20,315,30054.04,10126.01,0,0.0,30054.04,2080,0,0,0.0,100.0
2026-06-16,ST003,20,350,32611.41,11143.31,0,0.0,32611.41,1974,0,0,0.0,100.0
2026-06-17,ST001,20,312,30610.47,10463.18,0,0.0,30610.47,1770,0,0,0.0,100.0
2026-06-17,ST002,20,333,31100.6,10586.64,0,0.0,31100.6,1747,0,0,0.0,100.0
2026-06-17,ST003,20,339,32936.33,11378.91,0,0.0,32936.33,1635,0,0,0.0,100.0
2026-06-18,ST001,20,328,31222.3,10671.17,0,0.0,31222.3,1442,0,0,0.0,100.0
2026-06-18,ST002,20,321,30431.33,10409.43,0,0.0,30431.33,1426,0,0,0.0,100.0
